amount,hour_of_day,is_new_recipient,agent_rolling_avg_amount,deviation_from_role_avg,txns_last_5min,counterparty_risk_tier,agent,is_anomaly,calibrated_score
58365.61,14,0,50753.72,0.441,3,1,Treasury Agent,0,20.5203218071374
21500.65,12,0,50753.72,-1.6948,2,2,Treasury Agent,0,28.072731181590115
36501.76,12,0,50753.72,-0.8257,0,1,Treasury Agent,0,1.696275991166185
33392.64,12,0,50753.72,-1.0058,1,1,Treasury Agent,0,5.985814481612173
64188.27,17,0,50753.72,0.7783,0,2,Treasury Agent,0,17.989829100361
60601.97,11,0,50753.72,0.5706,0,1,Treasury Agent,0,0.8350501798067511
73530.77,11,0,50753.72,1.3196,1,1,Treasury Agent,0,7.172789971821302
25216.33,11,1,50753.72,-1.4795,1,1,Treasury Agent,0,29.219645735484534
45315.31,11,0,50753.72,-0.3151,0,1,Treasury Agent,0,0.14945466813575115
21787.83,10,0,50753.72,-1.6782,1,1,Treasury Agent,0,10.366044005727371
33118.28,17,0,50753.72,-1.0217,0,1,Treasury Agent,0,5.843180154505201
50321.32,17,0,50753.72,-0.0251,0,1,Treasury Agent,0,3.4163995475813835
21592.16,15,0,50753.72,-1.6895,0,1,Treasury Agent,0,8.34309973161752
31930.26,10,0,50753.72,-1.0906,0,1,Treasury Agent,0,2.213787601404127
58993.07,17,0,50753.72,0.4774,0,1,Treasury Agent,0,3.8623949571256366
52696.49,17,0,50753.72,0.1126,0,1,Treasury Agent,0,3.4779985081491382
33226.44,17,0,50753.72,-1.0155,0,1,Treasury Agent,0,5.91353296917605
55355.94,14,0,50753.72,0.2666,0,1,Treasury Agent,0,1.3962561279086572
68565.83,14,0,50753.72,1.032,0,1,Treasury Agent,0,2.5736817579509297
20389.93,10,1,50753.72,-1.7591,0,1,Treasury Agent,0,29.38798651955584
68349.16,14,0,50753.72,1.0194,0,1,Treasury Agent,0,2.5308446584539457
61888.36,14,0,50753.72,0.6451,0,2,Treasury Agent,0,14.750683419697786
40415.03,15,0,50753.72,-0.599,1,3,Treasury Agent,0,36.54933354293577
29328.77,14,0,50753.72,-1.2413,0,1,Treasury Agent,0,3.752756715572414
77432.78,10,0,50753.72,1.5457,0,1,Treasury Agent,0,5.616756173336423
40195.67,12,0,50753.72,-0.6117,1,3,Treasury Agent,0,32.82499941495378
25564.75,17,1,50753.72,-1.4593,2,2,Treasury Agent,0,46.75097591467661
25802.98,11,0,50753.72,-1.4455,1,2,Treasury Agent,0,20.212331730803122
70849.66,11,0,50753.72,1.1643,0,1,Treasury Agent,0,2.392429870320445
56223.56,9,1,50753.72,0.3169,0,1,Treasury Agent,0,26.9494040016092
68427.7,11,0,50753.72,1.024,1,1,Treasury Agent,0,5.602887107268673
63783.91,10,0,50753.72,0.7549,0,1,Treasury Agent,0,2.3054108024269104
52173.69,0,0,50753.72,0.0823,0,1,Treasury Agent,0,22.876689918129532
78386.95,13,0,50753.72,1.601,0,1,Treasury Agent,0,4.477293193515219
42712.06,16,0,50753.72,-0.4659,0,1,Treasury Agent,0,2.569662944531581
